,tweets
0,Another 48 Starlinks just reached orbit
1,"You are my favorite hello,
And my hardest goodbye."
2,Giga Berlin darf eröffnen 
3," 

Come join the team!"
4,"And also my sympathies to the great people of Russia, who do not want this"
5,"Hate to say it, but we need to increase oil & gas output immediately. 

Extraordinary times demand extraordinary measures."
6,"Obviously, this would negatively affect Tesla, but sustainable energy solutions simply cannot react instantaneously to make up for Russian oil & gas exports."
7,This was our 9th Falcon 9 launch in the first 9 weeks of 2022
8,"Important warning: Starlink is the only non-Russian communications system still working in some parts of Ukraine, so probability of being targeted is high. Please use with caution."
9,Deployment of 47 Starlink satellites confirmed
10,Watch Falcon 9 launch 47 Starlink satellites to orbit → 
11,Solar Roof lets you become your own renewable energy utility. Generate clean energy and drive on solar.
12,: 
13, on IG
14,The people of Tonga were recently connected with Starlink
15,Watch Falcon 9 launch 50 Starlink satellites to orbit → 
16,ℏ
17,tau > pi
18,Entertainment is becoming a username/password/2FA nightmare
19,Much appreciated!
20,Why is the “traditional” media such a relentless hatestream? Real question.
21,"Most news outlets attempt to answer the question: “What are the worst things happening on Earth today?”

It’s a big planet! Obviously, some bad things are happening somewhere at any given time, but focusing relentlessly on those does not give an accurate picture of reality."
22,Always look on the bright side of life
23,So … it’s finally come to this …
24, Thank You for Smoking 
25,[Satire]
26,Tesla Model S & X Plaid are so fun!
27,Extended tracking shot of Falcon 9
28,Congrats SpaceX Falcon team!
29,"If things go well, Falcon will launch about once a week on average in 2022, delivering ~2/3 of all Earth payload to orbit"
30,Watch Falcon 9 launch 49 Starlink satellites to orbit → 
31,And in the darkness bind them
32,"If you scare people enough, they will demand removal of freedom. This is the path to tyranny."
33,Seems odd that the UN still hasn’t released 2020 world death rates
34,Canadian truckers rule
35,CB radios are free from govt/media control
36,Je m’aple syrup
37,Been driving latest Cybertruck prototype around Giga Texas. It’s awesome!
38,I will eat a happy meal on tv if 
39, accepts Dogecoin
40,Graffiti art at Giga Berlin
41,This is annoying
42,Twitter is spending engineering resources on this bs while crypto scammers are throwing a spambot block party in every thread!?
43,Maybe something like this
44,Raptor just achieved power level needed for Starship & Super Heavy
45,"Raptor reached 268.9 bar today, exceeding prior record held by the awesome Russian RD-180. Great work by "
46, engine/test team!
47,Raptor 2 now operates routinely at 300 bar main chamber pressure
48,Let’s make the roaring 20’s happen!
49,Great work by Tesla team worldwide!
50,Lex asks great questions
51,"So much of AI is about compressing reality to a small vector space, like a video game in reverse"
52,Physics formulas are the rendering rules
